iso,name,MRGID,GEONAME,POL_TYPE
NIC,Nicaragua,8425,Nicaraguan Exclusive Economic Zone,200NM
GUY,Guyana,8460,Guyanese Exclusive Economic Zone,200NM
NA,Joint regime area: Barbados / Guyana,48969,Joint regime area: Barbados / Guyana,Joint regime
NA,Joint regime area: Dominican Republic / Colombia,48970,Joint regime area: Dominican Republic / Colombia,Joint regime
NA,Overlapping claim: Colombia / Dominican Republic / Venezuela,48971,Overlapping claim: Colombia / Dominican Republic / Venezuela,Overlapping claim
IRL,Ireland,5681,Irish Exclusive Economic Zone,200NM
GGY,Guernsey,21788,British Exclusive Economic Zone (Guernsey),200NM
JEY,Jersey,21789,British Exclusive Economic Zone (Jersey),200NM
SEN,Senegal,8371,Senegalese Exclusive Economic Zone,200NM
GNB,Guinea-Bissau,8471,Bissau-Guinean Exclusive Economic Zone,200NM
GIN,Guinea,8472,Guinean Exclusive Economic Zone,200NM
CIV,Ivory Coast,8473,Ivorian Exclusive Economic Zone,200NM
NA,Overlapping claim: Guyana / Trinidad and Tobago / Venezuela,33185,Overlapping claim: Guyana / Trinidad and Tobago / Venezuela,Overlapping claim
LBR,Liberia,8391,Liberian Exclusive Economic Zone,200NM
NA,Joint regime area: Jamaica / Colombia,21792,Joint regime area: Jamaica / Colombia,Joint regime
NA,Joint regime area: Honduras / United Kingdom (Cayman Islands),48972,Joint regime area: Honduras / United Kingdom (Cayman Islands),Joint regime
NA,Joint regime area: Iceland / Denmark (Faeroe Islands),48973,Joint regime area: Iceland / Denmark (Faeroe Islands),Joint regime
VEN,Venezuela,8433,Venezuelan Exclusive Economic Zone,200NM
HND,Honduras,8427,Honduran Exclusive Economic Zone,200NM
NA,Joint regime area: Ecuador / Colombia,48974,Joint regime area: Ecuador / Colombia,Joint regime
NA,Joint regime area: Iceland / Norway (Jan Mayen),48975,Joint regime area: Iceland / Norway (Jan Mayen),Joint regime
CAN,Canada,8493,Canadian Exclusive Economic Zone,200NM
ESH,Western Sahara,8368,Overlapping claim Western Sahara: Western Sahara / Morocco,Overlapping claim
SUR,Suriname,8461,Surinamese Exclusive Economic Zone,200NM
GUF,French Guiana,8462,French Exclusive Economic Zone (French Guiana),200NM
NA,Overlapping claim: United States (Puerto Rico) / Dominican Republic,48982,Overlapping claim: United States (Puerto Rico) / Dominican Republic,Overlapping claim
UMI,Johnston Atoll,8452,United States Exclusive Economic Zone (Johnston Atoll),200NM
COL,Colombia,8426,Colombian Exclusive Economic Zone,200NM
COL,Serrana Bank,62596,Colombian Exclusive Economic Zone (Serrana Bank),200NM
COL,Quitasueño Bank,62598,Colombian Exclusive Economic Zone (Quitasueño Bank),200NM
COL,Serranilla Bank,48984,Colombian Exclusive Economic Zone (Serranilla Bank),200NM
COL,Bajo Nuevo Bank,48985,Colombian Exclusive Economic Zone (Bajo Nuevo Bank),200NM
MAR,Morocco,8367,Moroccan Exclusive Economic Zone,200NM
NA,Melilla,49000,Overlapping claim Melilla: Spain / Morocco,Overlapping claim
NA,Alhucemas Islands,49001,Overlapping claim Alhucemas Islands: Spain / Morocco,Overlapping claim
NA,Perejil Island,48998,Overlapping claim Perejil Island: Spain / Morocco,Overlapping claim
NA,Ceuta,49002,Overlapping claim Ceuta: Spain / Morocco,Overlapping claim
NA,Peñón de Vélez de la Gomera,48999,Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco,Overlapping claim
NA,Chafarinas Islands,48997,Overlapping claim Chafarinas Islands: Spain / Morocco,Overlapping claim
ARE,United Arab Emirates,8360,Emirati Exclusive Economic Zone,200NM
CYP,Cyprus,8376,Cypriote Exclusive Economic Zone,200NM
NA,"Abu musa, Greater and Lesser Tunb",48947,"Overlapping claim Abu musa, Greater and Lesser Tunb: United Arab Emirates / Iran",Overlapping claim
NA,Doumeira Islands,48956,Overlapping claim Doumeira Islands: Eritrea / Djibouti,Overlapping claim
EGY,Egypt,8490,Egyptian Exclusive Economic Zone,200NM
ERI,Eritrea,8351,Eritrean Exclusive Economic Zone,200NM
GEO,Georgia,5678,Georgian Exclusive Economic Zone,200NM
IRN,Iran,8469,Iranian Exclusive Economic Zone,200NM
LBN,Lebanon,8374,Lebanese Exclusive Economic Zone,200NM
LBY,Libya,8372,Libyan Exclusive Economic Zone,200NM
MLT,Malta,5685,Maltese Exclusive Economic Zone,200NM
OMN,Oman,8354,Omani Exclusive Economic Zone,200NM
SAU,Saudi Arabia,8356,Saudi Arabian Exclusive Economic Zone,200NM
LKA,Sri Lanka,8346,Sri Lankan Exclusive Economic Zone,200NM
SYR,Syria,8373,Syrian Exclusive Economic Zone,200NM
TGO,Togo,8392,Togolese Exclusive Economic Zone,200NM
GRC,Greece,5679,Greek Exclusive Economic Zone,200NM
TUR,Turkey,5697,Turkish Exclusive Economic Zone,200NM
MCO,Monaco,21790,Monégasque Exclusive Economic Zone,200NM
TUN,Tunisia,8366,Tunisian Exclusive Economic Zone,200NM
MNE,Montenegro,5691,Montenegrin Exclusive Economic Zone,200NM
ALB,Albania,5670,Albanian Exclusive Economic Zone,200NM
BGR,Bulgaria,5672,Bulgarian Exclusive Economic Zone,200NM
PSE,Palestine,48953,Palestinian Exclusive Economic Zone,200NM
KWT,Kuwait,8357,Kuwaiti Exclusive Economic Zone,200NM
IRQ,Iraq,8470,Iraqi Exclusive Economic Zone,200NM
BHR,Bahrain,8358,Bahraini Exclusive Economic Zone,200NM
QAT,Qatar,8468,Qatari Exclusive Economic Zone,200NM
YEM,Yemen,8353,Yemeni Exclusive Economic Zone,200NM
ISR,Israel,8375,Israeli Exclusive Economic Zone,200NM
JOR,Jordan,8491,Jordanian Exclusive Economic Zone,200NM
DJI,Djibouti,8352,Djiboutian Exclusive Economic Zone,200NM
BGD,Bangladesh,8481,Bangladeshi Exclusive Economic Zone,200NM
NGA,Nigeria,8474,Nigerian Exclusive Economic Zone,200NM
CMR,Cameroon,8475,Cameroonian Exclusive Economic Zone,200NM
NA,Joint regime area: São Tomé and Principe / Nigeria,21797,Joint regime area: São Tomé and Principe / Nigeria,Joint regime
NA,Joint regime area: France / Italy,48976,Joint regime area: France / Italy,Joint regime
BIH,Bosnia and Herzegovina,22491,Bosnian and Herzegovinian Exclusive Economic Zone,200NM
GUM,Guam,48957,United States Exclusive Economic Zone (Guam),200NM
MHL,Marshall Islands,8318,Marshallese Exclusive Economic Zone,200NM
MNP,Northern Mariana Islands,48980,United States Exclusive Economic Zone (Northern Mariana Islands),200NM
PLW,Palau,8315,Palauan Exclusive Economic Zone,200NM
PHL,Philippines,8322,Philippine Exclusive Economic Zone,200NM
NA,Senkaku Islands,48954,Overlapping claim Senkaku Islands: Taiwan / Japan / China,Overlapping claim
SGP,Singapore,8485,Singaporean Exclusive Economic Zone,200NM
THA,Thailand,8332,Thailand Exclusive Economic Zone,200NM
UMI,Wake Island / Enenkio,8319,Overlapping claim Wake Island / Enenkio: United States / Marshall Islands,Overlapping claim
VNM,Vietnam,8484,Vietnamese Exclusive Economic Zone,200NM
NA,Joint regime area: South Korea / Japan,21796,Joint regime area: South Korea / Japan,Joint regime
BRN,Brunei,26521,Bruneian Exclusive Economic Zone,200NM
TWN,Taiwan,8321,Overlapping claim Taiwan: Taiwan / China,Overlapping claim
PRK,North Korea,8328,North Korean Exclusive Economic Zone,200NM
KHM,Cambodia,8331,Cambodian Exclusive Economic Zone,200NM
CHN,China,8486,Chinese Exclusive Economic Zone,200NM
EST,Estonia,5675,Estonian Exclusive Economic Zone,200NM
FIN,Finland,5676,Finnish Exclusive Economic Zone,200NM
SWE,Sweden,5694,Swedish Exclusive Economic Zone,200NM
LTU,Lithuania,5684,Lithuanian Exclusive Economic Zone,200NM
NA,Joint regime area: Sweden / Norway,48977,Joint regime area: Sweden / Norway,Joint regime
BEL,Belgium,3293,Belgian Exclusive Economic Zone,200NM
NLD,Netherlands,5668,Dutch Exclusive Economic Zone,200NM
DEU,Germany,5669,German Exclusive Economic Zone,200NM
DNK,Denmark,5674,Danish Exclusive Economic Zone,200NM
LVA,Latvia,5683,Latvian Exclusive Economic Zone,200NM
HRV,Croatia,5673,Croatian Exclusive Economic Zone,200NM
ITA,Italy,5682,Italian Exclusive Economic Zone,200NM
UKR,Ukraine,5695,Overlapping claim Ukraine: Ukraine / Russia,Overlapping claim
ROU,Romania,5689,Romanian Exclusive Economic Zone,200NM
JPN,Japan,8487,Japanese Exclusive Economic Zone,200NM
NA,Kuril Islands,48950,Overlapping claim Kuril Islands: Japan / Russia,Overlapping claim
IND,Andaman and Nicobar,8333,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),200NM
PAK,Pakistan,8359,Pakistani Exclusive Economic Zone,200NM
TKM,Turkmenistan,26523,Turkmen Exclusive Economic Zone,200NM
