Name,ISO 3166,Type,Administering Power,Disputed by,,Reviewed in MM -Map3,Spanish,Updated in SP?,French,Updated in FR?,Bahasa
Mozambique,MOZ,UN Member State,N/A,N/A,,Yes,,,,,
Myanmar,MMR,UN Member State,N/A,N/A,,Yes,,,,,
Namibia,NAM,UN Member State,N/A,N/A,,Yes,,,,,
Nauru,NRU,UN Member State,N/A,N/A,,Yes,,,,,
Nepal,NPL,UN Member State,N/A,N/A,,Yes,,,,,
Netherlands,NLD,UN Member State,N/A,N/A,,Yes,,,,,
New Caledonia,NCL,Special overseas collectivity,France,N/A,,Yes,,,,,
New Zealand,NZL,UN Member State,N/A,N/A,,Yes,,,,,
Nicaragua,NIC,UN Member State,N/A,N/A,,Yes,,,,,
Niger,NER,UN Member State,N/A,N/A,,Yes,,,,,
Nigeria,NGA,UN Member State,N/A,N/A,,Yes,,,,,
Niue,NIU,Self-governing province,New Zealand,N/A,,Yes,,,,,
Norfolk Island,NFK,Non-Self-Governing Territory,Australia,N/A,,Yes,,,,,
North Macedonia,MKD,UN Member State,N/A,N/A,,Yes-updated,Macedonia del Norte,Yes-updated,Macédoine du Nord,Yes-updated,Updated with English version
Northern Mariana Islands ,MNP,Non-Self-Governing Territory,United States of America,N/A,,Yes,,,,,
Norway,NOR,UN Member State,N/A,N/A,,Yes,,,,,
Oman,OMN,UN Member State,N/A,N/A,,Yes,,,,,
Pakistan,PAK,UN Member State,N/A,N/A,,Yes,,,,,
Palau,PLW,UN Member State,N/A,N/A,,Yes,,,,,
"Palestine, State of",PSE,Independent Nation State,N/A,N/A,,Yes-updated,Estado de Palestina,Yes-updated,Palestine,Yes-updated,Updated with English version
Panama,PAN,UN Member State,N/A,N/A,,Yes,,,,,
Papua New Guinea,PNG,UN Member State,N/A,N/A,,Yes,,,,,
Paraguay,PRY,UN Member State,N/A,N/A,,Yes,,,,,
Peru,PER,UN Member State,N/A,N/A,,Yes,,,,,
Philippines,PHL,UN Member State,N/A,N/A,,Yes,,,,,
Pitcairn,PCN,Non-Self-Governing Territory,United Kingdom,N/A,,Yes,,,,,
Poland,POL,UN Member State,N/A,N/A,,Yes,,,,,
Portugal,PRT,UN Member State,N/A,N/A,,Yes,,,,,
Puerto Rico,PRI,Dependency,United States of America,N/A,,Yes,,,,,
Qatar,QAT,UN Member State,N/A,N/A,,Yes,,,,,
Republic of Korea,KOR,UN Member State,N/A,N/A,,Yes-updated,República de Corea,Yes-updated,Corée,Yes-updated,Updated with English version
Republic of Moldova,MDA,UN Member State,N/A,N/A,,Yes-updated,República de Moldova,Yes-updated,Moldavie,Yes-updated,Updated with English version
Réunion,REU,Dependency,France,N/A,,Yes,,,,,
Romania,ROU,UN Member State,N/A,N/A,,Yes,,,,,
Russian Federation,RUS,UN Member State,N/A,N/A,,Yes-updated,Federación de Rusia,Yes-updated,Russie (Fédération de),Yes-updated,Updated with English version
Rwanda,RWA,UN Member State,N/A,N/A,,Yes,,,,,
Saint Barthélemy,BLM,Dependency,France,N/A,,Yes,,,,,
Saint Helena,SHN,Non-Self-Governing Territory,United Kingdom,N/A,,Yes-updated,Santa Elena ,Yes-updated,Sainte Hélène,Yes-updated,Updated with English version
Saint Kitts and Nevis,KNA,UN Member State,N/A,N/A,,Yes,,,,,
Saint Lucia,LCA,UN Member State,N/A,N/A,,Yes,,,,,
Saint Martin (French part),MAF,Dependency,France,N/A,,Yes-updated,San Martín (Parte francesa),Yes-updated,Saint-Martin (partie française),Yes-updated,Updated with English version
Saint Pierre and Miquelon,SPM,Dependency,France,N/A,,Yes,,,,,
Saint Vincent and the Grenadines,VCT,UN Member State,N/A,N/A,,Yes,,,,,
Samoa,WSM,UN Member State,N/A,N/A,,Yes,,,,,
