"","iso","label","id","GEONAME","POL_TYPE","iso3","isoSov1","isoSov2","isoSov3","territory1"
"126","GIN","Guinea",8472,"Guinean Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"127","CIV","Ivory Coast",8473,"Ivorian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"128",NA,"Overlapping claim: Guyana / Trinidad and Tobago / Venezuela",33185,"Overlapping claim: Guyana / Trinidad and Tobago / Venezuela","Overlapping claim",NA,"GUY","TTO","VEN","Guyana"
"129","LBR","Liberia",8391,"Liberian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"130",NA,"Joint regime area: Jamaica / Colombia",21792,"Joint regime area: Jamaica / Colombia","Joint regime",NA,"JAM","COL",NA,"Jamaica"
"131",NA,"Joint regime area: Honduras / United Kingdom (Cayman Islands)",48972,"Joint regime area: Honduras / United Kingdom (Cayman Islands)","Joint regime",NA,"HND","GBR",NA,"Honduras"
"132",NA,"Joint regime area: Iceland / Denmark (Faeroe Islands)",48973,"Joint regime area: Iceland / Denmark (Faeroe Islands)","Joint regime",NA,"DNK","ISL",NA,"Faeroe"
"133","VEN","Venezuela",8433,"Venezuelan Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"134","HND","Honduras",8427,"Honduran Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"135",NA,"Joint regime area: Ecuador / Colombia",48974,"Joint regime area: Ecuador / Colombia","Joint regime",NA,"ECU","COL",NA,"Ecuador"
"136",NA,"Joint regime area: Iceland / Norway (Jan Mayen)",48975,"Joint regime area: Iceland / Norway (Jan Mayen)","Joint regime",NA,"ISL","NOR",NA,"Iceland"
"137","CAN","Canada",8493,"Canadian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"138","ESH","Western Sahara",8368,"Overlapping claim Western Sahara: Western Sahara / Morocco","Overlapping claim",NA,NA,NA,NA,NA
"139","SUR","Suriname",8461,"Surinamese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"140","GUF","French Guiana",8462,"French Exclusive Economic Zone (French Guiana)","200NM",NA,NA,NA,NA,NA
"141",NA,"Overlapping claim: United States (Puerto Rico) / Dominican Republic",48982,"Overlapping claim: United States (Puerto Rico) / Dominican Republic","Overlapping claim","PRI","USA","DOM",NA,"Puerto Rico"
"142","UMI","Johnston Atoll",8452,"United States Exclusive Economic Zone (Johnston Atoll)","200NM",NA,NA,NA,NA,NA
"143","COL","Colombia",8426,"Colombian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"144","COL","Serrana Bank",62596,"Colombian Exclusive Economic Zone (Serrana Bank)","200NM",NA,NA,NA,NA,NA
"145","COL","Quitasueño Bank",62598,"Colombian Exclusive Economic Zone (Quitasueño Bank)","200NM",NA,NA,NA,NA,NA
"146","COL","Serranilla Bank",48984,"Colombian Exclusive Economic Zone (Serranilla Bank)","200NM",NA,NA,NA,NA,NA
"147","COL","Bajo Nuevo Bank",48985,"Colombian Exclusive Economic Zone (Bajo Nuevo Bank)","200NM",NA,NA,NA,NA,NA
"148","MAR","Morocco",8367,"Moroccan Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"149",NA,"Melilla",49000,"Overlapping claim Melilla: Spain / Morocco","Overlapping claim",NA,NA,NA,NA,NA
